Price,Close,High,Low,Open,Volume
Ticker,SPY,SPY,SPY,SPY,SPY
Date,,,,,
2018-01-02,237.20819091796875,237.24350123887552,235.99907503227377,236.38740776059842,86655700
2018-01-03,238.7086181640625,238.85866685789412,237.3759293522173,237.3759293522173,90070400
2018-01-04,239.7147216796875,240.2001511312624,238.77039265557013,239.3528918371276,80636400
2018-01-05,241.312255859375,241.43580163050825,240.0148771260598,240.50911407838043,83524000
2018-01-08,241.7534637451172,241.91231980048295,240.92384621080444,241.21508231230837,57319200
2018-01-09,242.3006134033203,242.92723014303823,241.8946120822583,242.17704075763686,57254000
2018-01-10,241.92994689941406,242.1947339096007,240.87087966031842,241.54161416491388,69574300
2018-01-11,243.69508361816406,243.69508361816406,242.31827736650422,242.48596772455488,62361500
2018-01-12,245.28375244140625,245.45141588442488,243.65980069307454,243.95989805566307,90816100
2018-01-16,244.4453582763672,247.19897173948618,243.74812059375282,246.54587870715207,106555100
2018-01-17,246.77525329589844,247.16358604371615,244.4452837428768,245.38080528974183,113258800
2018-01-18,246.36050415039062,247.08419079105386,245.8662403689767,246.66057459825356,100728000
2018-01-19,247.4813690185547,247.4813690185547,246.3605152129224,246.94298750417806,140920100
2018-01-22,249.49359130859375,249.49359130859375,247.21654675865042,247.26952571147552,91322400
2018-01-23,250.0231475830078,250.31438369783498,249.21117170640608,249.5377181464472,97084700
2018-01-24,249.9260711669922,251.267594294925,248.74343104844894,250.6674264532183,134816100
2018-01-25,250.031982421875,250.88807609859367,249.23767508759434,250.79100636095347,84587300
2018-01-26,252.92678833007812,252.97093297114546,250.61446024898368,250.87041297873535,107743100
2018-01-29,251.24990844726562,252.79440525454027,251.09105238265022,252.3531204524618,90118300
2018-01-30,248.6728973388672,251.302938336501,248.19630206345826,249.41425280400597,131796400
2018-01-31,248.79635620117188,250.03194821142603,247.71962024926057,249.52890402667362,108364800
2018-02-01,248.5139617919922,249.82017463114113,247.7196544567067,248.06386956453446,90102500
2018-02-02,243.10385131835938,247.32253369645537,243.06854098644754,247.19012668525886,173174800
2018-02-05,232.9365692138672,243.45680984544458,232.3893804155694,241.33864836363057,294681800
2018-02-06,237.52598571777344,238.02905690677133,228.32079028658086,229.4151680867395,355026800
2018-02-07,236.2373809814453,240.3766070007274,236.15792602763267,236.96990178783267,167376100
2018-02-08,227.37643432617188,236.67872643225567,227.3411239969614,236.53751204930325,246449500
2018-02-09,230.79196166992188,232.65417068859074,223.21951251611446,230.1741521461986,283565300
2018-02-12,234.18096923828125,235.65487203674877,230.9331202012035,232.84828078062773,143736000
2018-02-13,234.7635040283203,235.31069284858867,232.38938974640575,232.97188889072277,81223600
2018-02-14,237.93194580078125,238.2938025849212,233.26314486790656,233.27197918314275,120735700
2018-02-15,240.96791076660156,240.976745079024,237.2081566822243,239.67936704525152,111200300
2018-02-16,241.03857421875,242.98907245701633,240.29721897546403,240.34136361647205,160420100
2018-02-20,239.5293731689453,241.53282330759552,238.73506595181618,240.08539630110135,86369700
2018-02-21,238.337890625,242.45950217793197,238.24082090503708,239.9706496410579,98883700
2018-02-22,238.64688110351562,240.98568580992938,237.97614633523298,239.26469076961476,110511300
2018-02-23,242.45071411132812,242.45071411132812,239.39703049880484,239.87362567704736,92766400
2018-02-26,245.2659912109375,245.36308783485381,242.93602237733776,243.5273286967437,86491400
2018-02-27,242.2035675048828,246.16632330169108,242.14178116909667,245.45141715052657,99099200
2018-02-28,239.75003051757812,243.75690411099282,239.43231838445774,243.30678498851844,121907800
2018-03-01,236.2638397216797,241.09149542864364,234.7634609645196,239.53816466206666,176855100
2018-03-02,237.4818115234375,238.04666898477697,233.72208341520553,234.5869843687881,139083200
2018-03-05,240.22659301757812,240.84440243767995,236.18440964718673,236.2903406110572,97307400
2018-03-06,240.83554077148438,241.285659781691,239.33516202671586,241.2062048343412,79213200
2018-03-07,240.747314453125,241.10033687708273,238.4702969247958,238.66446329805524,87063500
2018-03-08,241.912353515625,242.03589926461066,240.429642924463,241.4269240336175,66901200
2018-03-09,246.1221466064453,246.12214660644534,243.00667741904286,243.3244164374985,113625300
2018-03-12,245.8132781982422,247.0400628849931,245.42494541494602,246.41344600308258,71924800
2018-03-13,244.22463989257812,247.481323592635,243.6156647659734,246.9782524995468,91968900
2018-03-14,242.9713592529297,245.3719492386469,242.41536312288045,245.18661719529715,105895100
2018-03-15,242.7066192626953,244.1275432690233,242.20354816954583,243.48328475375743,83433000
2018-03-16,242.96983337402344,244.02429975634018,242.91666927422258,243.23565387302773,100343700
2018-03-19,239.68228149414062,243.14695165651074,238.0252712081702,242.21655319872795,109208400
2018-03-20,240.0900115966797,240.7280078824896,239.40769386330302,240.081141898814,59757300
2018-03-21,239.6291961669922,242.14572931049537,239.4165397734384,240.0456662988744,78709600
2018-03-22,233.63917541503906,238.24690239279835,233.36445815337305,237.39624968089484,148785900
2018-03-23,228.65919494628906,234.41003001905378,228.46425092616556,234.08217576742703,183534800
2018-03-26,234.91513061523438,235.1986905206336,229.86435162889532,232.27455674126682,141956100
2018-03-27,230.91880798339844,236.38605689177058,229.35925561348856,235.85441589453748,129941400
2018-03-28,230.2365264892578,232.72650507922,229.1288958346585,231.0517545494191,146452300
2018-03-29,233.1783447265625,235.04803889006126,230.24534161174782,231.37955405153937,111601600
2018-04-02,228.14529418945312,233.16064818985345,225.6641992387949,232.6466925096968,186286300
2018-04-03,231.06939697265625,231.54790084231985,227.58701373854828,229.38580429555046,119956900
2018-04-04,233.54164123535156,234.25051384071205,227.3743630350943,227.50727326837983,123715300
2018-04-05,235.38475036621094,236.27085463283558,234.21508624424493,235.30497718546928,82652600
2018-04-06,230.13902282714844,234.91511121117597,228.61492226371996,233.41761973833164,179521200
2018-04-09,231.27325439453125,234.67589213371534,230.33398586952651,231.6011087043475,105442900
2018-04-10,234.95054626464844,235.73919206003762,233.02771510544727,234.1707701654905,103529000
2018-04-11,233.7188262939453,235.38470633022627,233.39097210331045,233.46184853300807,91140200
2018-04-12,235.64173889160156,236.58987709883664,234.87083238279263,235.04806408121883,68890500
2018-04-13,234.95054626464844,237.06834849039592,233.9404014392897,236.9531506064171,85079200
2018-04-16,236.88230895996094,237.6532426059024,235.765835655391,236.58990636732125,63405300
2018-04-17,239.41651916503906,240.01906358941528,238.14052683003248,238.65445541746945,64682000
2018-04-18,239.59373474121094,240.40006579043967,239.13294323678886,239.8595551924122,57303900
2018-04-19,238.26458740234375,239.14182196620106,237.22783351998476,238.9380082514109,77655900
2018-04-20,236.24427795410156,238.41524452186007,235.35817356591602,238.19371842481368,99953100
2018-04-23,236.2088165283203,237.3784806289151,235.1277682611201,236.82023062446052,65558000
2018-04-24,233.02777099609375,237.45829349326195,231.52138253035125,237.23676736840355,112885500
2018-04-25,233.60369873046875,234.0467509142183,231.14032967049164,232.96570250419904,103840900
2018-04-26,235.9784698486328,236.8114101806165,234.18854862551967,234.63160084288285,67731900
2018-04-27,236.1998748779297,236.89103490104742,235.2606068219427,236.58976279268816,57053600
2018-04-30,234.38345336914062,237.3784901828329,234.31254988286898,236.82024015591008,82182300
2018-05-01,234.7999725341797,234.906300744051,232.25682998653244,233.81638250934506,74203400
2018-05-02,233.22268676757812,235.42020835279004,232.83279867179667,234.60500745561788,86368900
2018-05-03,232.70870971679688,233.36441825326074,229.54531083801862,232.3897251450331,136311500
2018-05-04,235.72146606445312,236.40378371087323,231.40614226864932,231.73399654675637,91222100
2018-05-07,236.5189208984375,237.49361378586684,235.80115169105102,236.49233885681215,55304900
2018-05-08,236.5189208984375,236.88219978673308,234.95049931728934,236.1467452739316,67499200
2018-05-09,238.80514526367188,239.13299957798287,236.66963033003177,237.19242870173866,59666100
2018-05-10,241.03814697265625,241.36602836718055,239.44316961910306,239.5494978371047,72063900
2018-05-11,241.77357482910156,242.03939531467498,240.64820500940436,241.16216067052423,59871500
2018-05-14,241.88882446289062,242.86351781299686,241.3394169389169,242.2078091138132,54790600
2018-05-15,240.22288513183594,240.67477994395338,239.2747470250523,240.65706759269153,87036100
2018-05-16,241.23297119140625,241.69376262947895,240.23166923313414,240.25827831617778,53942600
2018-05-17,241.02920532226562,242.11025349755755,240.24942932149725,240.96717153998782,56536400
2018-05-18,240.42669677734375,241.0469806787529,240.07226042300726,240.68367462698586,64368000
2018-05-21,242.23434448242188,242.7748822035489,241.52547181137157,241.91535989297694,58025900
2018-05-22,241.56089782714844,243.01412196497793,241.23304353896373,242.75714412757947,52966400
2018-05-23,242.22547912597656,242.2520882173328,240.12541608255538,240.28493542189534,64694200
2018-05-24,241.72930908203125,242.10148488934271,239.93938763599817,241.82679464370807,76043800
2018-05-25,241.15330505371094,241.7824316008058,240.64821905987307,241.15330505371094,56374800
2018-05-29,238.37979125976562,240.28493731566547,237.26331812614362,239.5228734849536,115908600
2018-05-30,241.56089782714844,242.00395000939997,239.62035414730505,239.69123059809127,69678400
2018-05-31,240.08111572265625,241.4545666540037,239.47857125224309,241.15329441879712,93519900
2018-06-01,242.43817138671875,242.7394436403648,241.31280148206613,241.38370497807728,71258400
2018-06-04,243.59010314941406,243.8470810065992,243.02301037418204,243.2622488359854,45385200
2018-06-05,243.76730346679688,244.14832183379113,242.9520755952727,243.7229820258101,51135000
2018-06-06,245.80531311035156,245.91164129348408,243.75841445978358,244.37869825039746,62732200
2018-06-07,245.77874755859375,246.58510572380365,244.86606120311572,246.2927032005663,72969400
2018-06-08,246.50535583496094,246.55851992928706,245.14961734613055,245.31797932541565,72139700
2018-06-11,246.83309936523438,247.55084135840735,246.61157339100208,246.72677122428206,58892500
2018-06-12,247.15228271484375,247.51556176849593,246.50541668518662,247.2497412312471,72329000
2018-06-13,246.36361694335938,247.64847920104623,246.15980318665217,247.39150134115656,79070600
2018-06-14,246.98385620117188,247.5154971368466,246.39015443399288,247.23196431840563,77097600
2018-06-15,246.6687469482422,247.0069828903128,245.08440003263402,246.1970039667179,120041600
2018-06-18,246.1614227294922,246.28604742347036,244.72840172785473,245.2090271278656,52917600
2018-06-19,245.21795654296875,245.44047737467744,243.46449130257685,243.88283155271665,97531500
2018-06-20,245.63619995117188,246.3037621831119,245.297964074214,245.90321397867717,53785500
2018-06-21,244.09645080566406,245.64521431574502,243.5980062994644,245.62739526418824,71061400
2018-06-22,244.5414581298828,245.47606182010338,244.31893732219,245.3603466539936,54898500
2018-06-25,241.21253967285156,243.54455323797063,239.52138707826145,243.38434478613405,137854200
2018-06-26,241.7466278076172,242.6011001631915,241.0256625133535,241.78223874502882,68547400
2018-06-27,239.7439422607422,243.76710899754366,239.59261614795705,242.33408792303402,105110700
